Title,Year
Almost Famous,2000
Alone in the Dark,2005
Always,1989
Amarcord,2019
Amazon Women on the Moon,1987
American Beauty,1999
American Gangster,2007
American Graffiti,1973
American Honey,2016
American Hustle,2013
American Psycho,2000
Amistad,1997
Amityville 1992: It’s About Time,1992
An American Christmas Carol,1979
An American Tail: Fievel Goes West,1991
An American Werewolf in London,1981
An Unexpected Christmas,2021
Anatomy of a Murder,1959
Anchorman: The Legend of Ron Burgundy,2004
Aniara,2018
Animal Kingdom,2016
Anne of the Thousand Days,1969
Another Round,2020
Ant-Man,2015
Ant-Man and the Wasp,2023
Antony and Cleopatra,1972
Antropophagus,1980
Apocalypse Now,1979
Apollo 11,2019
Apollo 13,1995
Arachnophobia,1990
Arrival,2016
Arsenic and Old Lace,1944
Assassin's Creed,2016
Assault on Precinct 13,1976
Atomic Blonde,2017
Attack the Block,2011
Au Revoir les Enfants,1987
Austenland,2013
Austin Powers: International Man of Mystery,1997
Autumn Sonata,1978
Avatar,2009
Avatar: The Way of Water,2022
Avengers: Age of Ultron,2015
Avengers: Endgame,2109
Avengers: Infinity War,2018
Away from Her,2006
Baby Face,1933
Babylon,2022
Back to the Future,1985
Back to the Future Part II,1989
Back to the Future Part III,1990
Bad Boys,1995
Bad Boys II,2003
Bad Education,2019
Bad Influence,1990
Bad Santa,2003
Bad Taste,1987
Ball of Fire,1941
Barb & Star Go to Vista Del Mar,2021
Barking Dogs Never Bite,2000
Barry Lyndon,1975
Barton Fink,1991
Basic Instinct,1992
Batman & Robin,1989
Batman (1966),1966
Batman (1989),1997
Batman Begins,2005
Batman Forever,1995
Batman Returns,1992
Batman v Superman: Dawn of Justice,2016
Batman: Mask of the Phantasm,1993
Baxter,1989
Beaches,1988
Beasts of the Southern Wild,2012
Beautiful Girls,1996
Beauty and the Beast,2017
Becoming Jane,2007
Beetlejuice,1988
Before Midnight,2013
Before Sunrise,1995
Before the Devil Knows You're Dead,2007
Being John Malkovich,1999
Below,2013
Best in Show,2000
Better Days,2019
Beverly Hills Cop,1984
Big Business,1988
Big Trouble in Little China,1986
Bill & Ted's Bogus Journey,1991
Bill & Ted's Excellent Adventure,1989
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020
Black Bear,2020
Black Christmas,1974
Black Christmas (2006),2006
Black Dynamite,2009
Black Hawk Down,2001
Black Legion,1937
Black Panther,2018
Black Panther: Wakanda Forever,2022
Black Roses,1988
Black Sheep,1996
Black Swan,2010
Black Widow,2021
Blackboard Jungle,1955
BlacKkKlansman,2018
Blade,1998
Blade Runner,1982
Blade Runner 2049,2017
Blaze,2018
Blazing Saddles,
Blind Date,
Blood and Black Lace,
Blood Simple,
Bloody Moon,
Blow the Man Down,
Blue Velvet,
Boarding Gate,
Bob & Carol & Ted & Alice,
Body Double,
Body Heat,
Body Parts,
Boiler Room,
Bone Tomahawk,
Bonjour Tristesse,
Boogie Nights,
Booksmart,
Boomerang,
Borat Subsequent Moviefilm,
Bottle Rocket,
Bound,
Bowfinger,
Boxing Helena,
Boys Don't Cry,
Boyz n the Hood,
Braindead,
Bram Stoker's Dracula,
Brave,
Brazil,
Breakdown,
Breakfast at Tiffany’s,
Breaking Away,
Bride of Chucky,
Bridesmaids,
Bridge of Spies,
Bridget Jones’s Diary,
Brief Encounter,
Bring It On,
Bring Me the Head of Alfredo Garcia,
Bringing Up Baby,
Broadcast News,
Brokeback Mountain,
Broken Arrow,
Brown Sugar,
Bubble,
Bug,
Bull Durham,
Bullet in the Head,
Bully,
Burn After Reading,
Burning,
Butch Cassidy and the Sundance Kid,
C.R.A.Z.Y.,
Cabaret,
Cadet Kelly,
Call Me by Your Name,
Camelot,
Camera Buff,
Candyman,
Cannibal Holocaust,
Capote,
Captain America: Civil War,
Captain America: The First Avenger,
Captain America: The Winter Soldier,
Captain Marvel,
Carlos,
Carol,
Carrie,
Cars,
Cars 2,
Cars 3,
Casablanca,
Casino Royale,
Castle Freak,
Catch Me If You Can,
Cats,
Cat's Eye,
Cecil B. Demented,
Center Stage,
Certain Women,
Charade,
Charlie Wilson's War,
Chasing Amy,
Children of the Corn,
Child's Play,
Child's Play (2019),
Child's Play 2,
Child's Play 3,
Chimes at Midnight,
China Moon,
Chinatown,
Chocolate,
Chopper,
Christine,
Christine (2016),
Christmas Evil,
Christmas Getaway,
Christmas in Connecticut,
Christmas with the Kranks,
"Christmas, Again",
Citizen Kane,
Citizen Ruth,
City of Angels,
City of the Living Dead,
Clean,
Clear and Present Danger,
Cléo from 5 to 7,
Cliffhanger,
Climax,
Close Encounters of the Third Kind,
Close-up,
Cloud Atlas,
Clouds of Sils Maria,
Cloverfield,
Clueless,
C'mon C'mon,
Cobra,
Coco,
Cocoon,
Coffee and Cigarettes,
Cold Water,
Collective,
Color of Night,
Colossal,
Come September,
Coming to America,
Commando,
Communion,
Con Air,
Conan the Barbarian,
Connie and Carla,
Conquest,
Contact,
Contagion,
Cool Hand Luke,
Coonskin,
Cop Land,
Coraline,
Coriolanus,
Coupe de Ville,
Crash (1996),
Crashing Through the Snow,
Crawl,
"Crazy, Stupid, Love",
Creature from the Black Lagoon,
Creed,
Creed II,
Creed III,
Crimson Tide,
Critical Thinking,
Croc,
Cross of Iron,
"Crouching Tiger, Hidden Dragon",2000
Cult of Chucky,
Curse of Chucky,
Cyborg,
Da 5 Bloods,
Da Sweet Blood of Jesus,
Dagon,
Damn Yankees,
Daredevil,
Dark Age,1987
Dark City,
Dark Passage,1947
Dark Phoenix,
Dark Victory,
Darkman,
Darkness,2002
David Byrne’s American Utopia,
Dawn of the Dead,
Day for Night,
Day of the Animals,
Day of the Dead,
Dazed and Confused,
Dead Man,
Dead Ringers,
Deadfall,
Deadly Blessing,
Deadly Games,
Deadpool,
Deadpool 2,
Dear White People,
Death Becomes Her,
Death on the Nile (1978),
Death Wish 3,
Deathdream,
Deathgasm,
Decision to Leave,
Deep Impact,
Deep Red,
Deep Rising,
Delicatessen,
Deliver by Christmas,
Demolition Man,
Demonlover,
Desert Hearts,
Desperate Living,
Desperately Seeking Susan,
Destroy All Monsters,
Destry Rides Again,
Desyat Negrityat,
Detective Pikachu,
Devil in a Blue Dress,
Diamonds Are Forever,
Dick,
Dick Johnson is Dead,
Die Another Day,
Die Hard,
Die Hard: With a Vengeance,
Dinocroc,
Dirty Dancing,
Dirty Pretty Things,
Dirty Rotten Scoundrels,
Disaster Movie,
Disorder,
Django,1966
"Django Kill… If You Live, Shoot!",
Django Unchained,2012
Doctor Sleep,
Doctor Strange,
Doctor Strange in the Multiverse of Madness,
Dodes'ka-den,
Dolemite Is My Name,
Dominion: Prequel to the Exorcist,
Dont Look Back,
Don't Torture a Duckling,
Double Indemnity,
Doubt,
Dr. No,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,
Dr. T & the Women,
Dracula,
Dragonslayer,
Driftwood,
Drive,
Drive Angry,
Drop Dead Gorgeous,
Drop Zone,
Dudes,
Duel,
Dumbo,
E.T. the Extra-Terrestrial,
Easy Living,
Eat the Document,
Eaten Alive,
Ed Wood,
Edmond,
Edward Scissorhands,
Eight Men Out,
Eighth Grade,
El Mariachi,
Election,
Elizabeth,
Emma.,
Emperor of the North Pole,
Empire of the Sun,
Enchanted,
Endless Night,
Enemy of the State,
Equilibrium,
Eraserhead,
Erin Brockovich,
Escape from New York,
Escape to Witch Mountain,
Eternal Sunshine of the Spotless Mind,
Eternals,
Event Horizon,
Everybody Wants Some!!,
Everything Everywhere All at Once,
Eve's Bayou,
Evil Dead II,
Evolution,
Ex Machina,
Excalibur,
Exorcist: The Beginning,
Extremely Loud & Incredibly Close,
Eye of the Beholder,
Eyes Wide Shut,
F for Fake,
Face/Off,
Faces of Death,
Fanny and Alexander,
Fargo,
Fast Company,
Fast Five,
Faster,
Fat Kid Rules the World,
Fear,
FeardotCom,
Female Trouble,
Fences,
Field of Dreams,
Fight for Your Life,
Final Destination,
Final Fantasy: The Spirits Within,
Find Me Guilty,
Finding Dory,
Finding Nemo,
Fir Crazy,
First Blood,
First Comes Courage,
First Cow,
First Man,
First Reformed,
Flight,
Flight of the Navigator,
Fools Rush In,
For Your Eyes Only,
Forbidden Planet,
Ford v. Ferrari,
Forgetting Sarah Marshall,
Four of the Apocalypse,
Four Weddings and a Funeral,
Foxcatcher,
Frailty,
Frances Ha,
Frankenstein,
Frankenstein Meets the Wolf Man,
Frantic,
Freaky,
Freaky Friday,
Freddy Got Fingered,
Freddy vs. Jason,
Freddy’s Dead: The Final Nightmare,
Frequency,
Frida,
Friday the 13th,
Friday the 13th (2009),
Friday the 13th Part 2,
Friday the 13th Part III,
Friday the 13th Part VI: Jason Lives,
Friday the 13th Part VII: The New Blood,
Friday the 13th Part VIII: Jason Takes Manhattan,
Friday the 13th: A New Beginning,
Friday the 13th: The Final Chapter,
Fright Night (2011),
From Beyond,
From Russia with Love,
Frozen,
Fruitvale Station,
FUBAR,
Full Metal Jacket,
Funny Face,
Funny People,
Furious 7,
Get Him to the Greek,
Get Out,
Get Over It,
"Ghidorah, the Three-Headed Monster",
Ghost,
Ghost Dog: Way of the Samurai,
Ghost Rider,
Ghostbusters: Afterlife,
Girls Trip,
Glass,
Glory,
Godzilla,
Godzilla (2014),
Godzilla vs. Destoroyah,
Godzilla vs. Hedorah,
Godzilla vs. SpaceGodzilla,
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",
Godzilla: Final Wars,
Godzilla: King of the Monsters,
Gold Diggers of 1933,
GoldenEye,
Goldfinger,
Goldstone,
Gravity,
Green Room,
Gremlins,
Gremlins 2: The New Batch,
Grey Gardens,
Grindhouse,
Grumpy Old Men,
Guardians of the Galaxy,
Guardians of the Galaxy Vol 2,
Guillermo del Toro's Pinocchio,
Hachi: A Dog's Tale,
Hackers,
"Hail, Caesar!",
Hairspray (1988),
Halloween,
Halloween H20: 20 Years Later,
Halloween III: Season of the Witch,
Halloweentown,
Hamlet (1948),
Hamlet (1964),
Hamlet (1996),
Hannah and Her Sisters,
Hannibal Rising,
Happy Birthday to Me,
Happy Gilmore,
Happy Together,
Hard Boiled,
Hard Eight,
Hard Target,
Hard to Handle: Bob Dylan in Concert,
Harper,
Harry & Son,
Harry Potter and the Goblet of Fire,
Harry Potter and the Prisoner of Azkaban,
Hearts of Fire,
Heat,
Heathers,
Heaven Can Wait,
Heaven's Gate,
Hedwig and the Angry Inch,
Hellbound: Hellraiser II,
Hello Mary Lou: Prom Night II,
Hellraiser,
Hellraiser III: Hell on Earth,
Hellraiser: Bloodline,
Hellraiser: Deader,
Hellraiser: Inferno,
Hellraiser: Revelations,
Help!,
Henry V (1944),
Henry V (1989),
Henry: Portrait of a Serial Killer,
Hercules (2014),
Hereditary,
Hidden Figures,
High and Low,
High Flying Bird,
High Life,
High Noon,
High School Musical,
High Sierra,
Highlander,
His Girl Friday,
History of the World: Part I,
Hitch,
Hitched for the Holidays,
Hobo with a Shotgun,
Holiday Affair,
Holiday Heart,
Homeward Bound: The Incredible Journey,
"Honey, I Shrunk the Kids",
Hook,
Hoop Dreams,
House of Frankenstein,
House of Wax (2005),
House on Haunted Hill,
How Stella Got Her Groove Back,
How to Succeed in Business Without Really Trying,
Howard the Duck,
Howards End,
Hubie Halloween,
Hud,
Hudson Hawk,
Humpday,
Hustle,
I Am a Fugitive from a Chain Gang,
I Am Legend,
I Declare War,
I Know Who Killed Me,
I Live in Fear,
I Married a Strange Person!,
I Married a Witch,
I Saw the Devil,
I Walked with a Zombie,
Idiocracy,
Idle Hands,
If Beale Street Could Talk,
Ikiru,
I'm Not There,
Imagine,
Imitation of Life,
In a Lonely Place,
In Bruges,
In Fabric,
In My Skin,
In Paris,2006
In Search of the Castaways,
In the Bedroom,
In the Bleak Midwinter,1995
In the Cut,
In the Loop,
In the Mood for Love,
Inception,
Incredibles 2,
Indecent Proposal,
Independence Day,
Indiana Jones and the Kingdom of the Crystal Skull,
Indiana Jones and the Last Crusade,
Indiana Jones and the Temple of Doom,
Inglourious Basterds,
Ingrid Goes West,
Inherent Vice,
Innerspace,
Inside,
Inside Llewyn Davis,
Inside Man,
Inside Out,
Intermission,
Interstellar,
Interview with the Vampire,
Intolerable Cruelty,
Invasion of the Body Snatchers,
Invasion of the Body Snatchers (1956),
Invasion U.S.A.,
Irma Vep,
Iron Man,
Iron Man 2,
Iron Man 3,
Irréversible,
Island of Death,
It Follows,
It Happened One Night,
"It's a Mad, Mad, Mad, Mad World",
It's a Wonderful Life,
Jack and Jill,
Jackass Forever,
Jackass Number Two,
Jackass: The Movie,
Jackie Brown,
Jason and the Argonauts,
Jason Goes to Hell: The Final Friday,
Jason X,
Jaws,
Jennifer's Body,
Jinnah,
Joe Dirt,
Joe Versus the Volcano,
John Wick,
Johnny Guitar,
Josie and the Pussycats,
Journey to the Center of Time,
Julius Caesar (1953),
Jumanji,
Jumanji: Welcome to the Jungle,
Jumpin' Jack Flash,
Jumping the Broom,
Junebug,
Jungle Cruise,
Junior Bonner,
Juno,
Jurassic Park,
Jurassic Park III,
Jurassic World: Fallen Kingdom,
Kenny & Company,
Kidnapped,
Kids in the Hall: Brain Candy,
Kill Bill: Vol. 1,
Killer Crocodile,
Killing Them Softly,
Kimi,2022
King Kong (1933),
King Kong (1976),
King Kong (2005),
King Kong vs. Godzilla,
King Lear (1971),
Kiss Kiss Bang Bang,
Kiss Me Deadly,
Kiss Me Kate,
Kiss of Death,
Knights of the Round Table,
Knives Out,
Knocked Up,
Krampus,
Kubo and the Two Strings,
Kumiko The Treasure Hunter,
Kung Fu Master!,
L.A. Confidential,
La Bûche,
Labyrinth,1986
"Ladies and Gentlemen, the Fabulous Stains",
Lady in the Water,
Lady in White,
Lady Snowblood,
Lake Placid,
Lancelot du Lac,
Lara Croft: Tomb Raider,
Lars and the Real Girl,
Last Action Hero,
Last Night in Soho,
"Late August, Early September",
Law of Desire,
Lawrence of Arabia,
Le Bonheur,
Leaving Las Vegas,
Legend,
Legend of the Red Dragon,
Les Misérables,
Let Them All Talk,
Letters from Iwo Jima,
Leviathan,
Licence to Kill,
Licorice Pizza,
Life is Sweet,
Life of Brian,
Lifeforce,
Limbo,
Lincoln,
Lisa,
Little Shop of Horrors,
Little Women (1994),
Little Women (2019),
Live and Let Die,
Logan,
Logan Lucky,
Long Shot,
Long Weekend,
Look Who's Talking,
Looking for Alibrandi,
Looper,
Lords of Chaos,
Lost in Space,
Lost Souls,
Love & Basketball,
Love & Friendship,
Love Actually,
Love at the Thanksgiving Day Parade,
Love in the Afternoon,
Love Streams,
Love with the Proper Stranger,
"Love, Simon",
Lovely & Amazing,
Lucky Numbers,
Macbeth (1971),
Macbeth (2015),
MacGruber,
Mad Max: Fury Road,
Made in America,
Magic Mike XXL,
Magical Mystery Tour,
Magnolia,
Major League,
Malcolm X,
Malignant,
Mamma Mia! Here We Go Again,
Man Bites Dog,
Man of Steel,
Man of the West,
Man on Fire,
Mandy,
Mangrove,
Maniac,
Manifest Destiny,
Mank,
Marathon Man,
Marie Antoinette,
Marriage Story,
Mary and Max,
Mary Poppins,
Mass,
Matador,
Matchstick Men,
Maurice,
McCabe & Mrs. Miller,
Me and You and Everyone We Know,
Mean Girls,
Meek’s Cutoff,
Meet Me in St. Louis,
Melancholia,
Memento,
Memories of Murder,
Men in Black,
Men in Black 3,
Mermaids,
Metallica: Some Kind of Monster,
Metropolis,
Metropolitan,
Miami Blues,
Miami Vice,
Mickey,
Mickey's Christmas Carol,
Midsommar,
Mighty Joe Young,
Mildred Pierce,
Miller's Crossing,
Minari,
Minority Report,
Miracle on 34th Street,
"Mirror, Mirror (1996)",
Misery,
Miss Julie,
Miss Juneteenth,
Mission: Impossible,
Mission: Impossible – Fallout,
Mission: Impossible – Ghost Protocol,
Mississippi Masala,
Moana,
Mom and Dad,
Mommie Dearest,
Moneyball,
Monkey Shines,
Monster (2003),
Monsters University,
"Monsters, Inc.",
Monty Python and the Holy Grail,
Monty Python's The Meaning of Life,
Mooch Goes to Hollywood,
Moonlight,
Moonraker,
Moonrise Kingdom,
Moonstruck,
Morvern Callar,
Mother,
Mother!,
Moulin Rouge!,
Movie 43,
Mr. 3000,
Mr. Deeds,
Mr. Mike’s Mondo Video,
Mrs Brown,
Mrs. Doubtfire,
Much Ado About Nothing,
Mulan,
Mulholland Drive,
Multiple Maniacs,
Munich,
Muppet*Vision 3-D,
Muppets Most Wanted,
Mur Murs,
Murder by Numbers,
Murder on the Orient Express (1974),
"Murder, She Said",
My Best Friend's Wedding,
My Cousin Vinny,
My Fair Lady,
My Man Godfrey,
My Night at Maud's,
My Super Psycho Sweet 16,
Myra Breckinridge,
Mysterious Island,
Naked Lunch,
Nashville,
National Velvet,
Needful Things,
Network,
Never Rarely Sometimes Always,
Never Say Never Again,
New Jack City,
New Nightmare,
Night Moves (1975),
Night Moves (2013),
Night of the Comet,
Night of the Demon,1980
Night of the Demons,
Night of the Living Dead,
Nightcrawler,
Nighthawks,
Nightmare Alley (1947),
Nixon,
No Country for Old Men,
No Sudden Move,
No Time to Die,
No Way to Treat a Lady,
Nobody's Fool,
Nomadland,
Non-Fiction,
Nope,
North by Northwest,
North Country,
Notes on a Scandal,
Notting Hill,
Now and Then,
Now You See Me,
"O Brother, Where Art Thou?",
Obvious Child,
Ocean’s Eleven,
October Sky,
Octopussy,
Office Space,
Okja,
Old,
Old Henry,
Old Joy,
Oldboy,
Oliver!,
Olympus Has Fallen,
On Her Majesty's Secret Service,
Once,
Once Upon a Time in America,
Once Upon a Time in the West,
Once Upon a Time… in Hollywood,
One Christmas Eve,
One Cut of the Dead,
One Hundred and One Dalmatians,
One Night in Miami…,
"One Sings, the Other Doesn't",
One Wonderful Sunday,
One-Eyed Jacks,
Onward,
Open Range,
Oscar,
Othello (1951),
Othello (1995),
Ouija: Origin of Evil,
Out of Sight,
Out of Time,
Paddington,
Paddington 2,
Pain and Glory,
Panic Room,
Paper Moon,
Paperhouse,
Paradise Lost 2: Revelations,
Parallel Mothers,
Paranormal Activity,
Paranormal Activity 3,
ParaNorman,
Parasite,
Paris Blues,
Paris is Burning,
"Paris, Texas",
Passenger 57,
Passing,
Pat Garrett and Billy the Kid,
Paths of Glory,
Pearl,
Pecker,
Peeping Tom,
Peggy Sue Got Married,
Pelle the Conqueror,
Pennies From Heaven,
Perceval le Gallois,
Perfect Blue,
Persepolis,
Personal Shopper,
Persuasion (1995),
Pet Sematary,
Pet Sematary Two,
Petite Maman,
Phantasm,
Phantom of the Paradise,
Philadelphia,
Pig,
Pinball Summer,
Pineapple Express,
Pink Flamingos,
Pinocchio,
Piranha,
Pirates of the Caribbean: The Curse of the Black Pearl,
Pitch Black,
Please Give,
Point Break,
Pollyanna,
Poltergeist,
Polyester,
Popstar: Never Stop Never Stopping,
Possession,
Postcards From the Edge,
Praying with Anger,
Predator,
Predator 2,
Predators,
Presumed Innocent,
Pretty in Pink,
Pride & Prejudice,
Primal Fear,
Prince of Darkness,
Princess Mononoke,
Professor Marston and the Wonder Women,
Prometheus,
Promising Young Woman,
Psycho,
Pulp Fiction,
Pumpin,
Punks,
Purple Rain,
Quantum of Solace,
Quigley Down Under,
Quiz Show,
"Quo vadis, Aida?",
Race with the Devil,
Rachel Getting Married,
Raging Bull,
Raiders of the Lost Ark,
Raising Arizona,
Rambling Rose,
Ran,
Rare Exports: A Christmas Tale,
Ratatouille,
Raw,
Razorback,
Ready or Not,
Ready Player One,
Real Life,1979
Real Steel,
Reality Bites,
Re-Animator,
Rebel Without a Cause,
REC,
Red Cliff,
Red Dawn,
Red Eye,
Red River,
Regarding Henry,
Repo Man,
Reservoir Dogs,
Resident Evil: Extinction,
Return of the Jedi,
Return to Seoul,
Richard III,
Richard III (1995),
Ride Lonesome,
Ride the High Country,
Rififi,
Rio Bravo,
Rituals,
River of Grass,
Road to Perdition,
Roar,1981
RoboCop,
Robot Jox,
Rock ’n’ Roll High School,
Rocketman,
Rocky,
Rocky Balboa,
Rocky II,
Rocky III,
Rocky IV,
Rocky V,
Rogue One: A Star Wars Story,
Rollerball,
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,
Roman Holiday,
Romance,
Romeo + Juliet,
Romeo and Juliet (1968),
Romy and Michele’s High School Reunion,
Rosemary’s Baby,
Rounders,
RRR,
Runaway Jury,
Runaway Train,
Rust and Bone,
S.W.A.T.,
Sabrina,
Salem's Lot,
"Salò, or the 120 Days of Sodom",
Samson and Delilah,
San Andreas,
Sandy Wexler,
Saving Private Ryan,
Scary Movie,
Schindler's List,
Schizopolis,
School of Rock,
Scott Pilgrim vs. the World,
Scream,
Scream 3,
Scrooge,
Scrooge (1970),
Scrooged,
Sea of Love,
Searching for Bobby Fischer,
Seconds,
Secretary,
Seed of Chucky,
Selena,
Sense and Sensibility,
Sentimental Destinies,
Serial Mom,
Seven Psychopaths,
Seven Samurai,
"Sex, Lies, and Videotape",
Sexy Beast,
Shadow Kingdom: The Early Songs of Bob Dylan,
Shakespeare in Love,
Shakespeare-Wallah,
Shakma,
Shall We Dance? (1996),
Shame,
Shang-Chi and the Legend of the Ten Rings,
Shaun of the Dead,
She Creature,
Shin Godzilla,
Shirkers,
Shiva Baby,
Short Circuit,
Short Cuts,
Showgirls,
Side Effects,
Signs,
Silent House,
"Silent Night, Deadly Night 5: The Toymaker",
Silkwood,
Silver Streak,
Sin City,
Sing Street,
Singin' in the Rain,
Sister Act,
Six Degrees of Separation,
Skyfall,
Slap Shot,
Sleepaway Camp,
Sleeping Beauty,
Slither,
Slow West,
Smart House,
Smile,
Smooth Talk,
Snake Eyes,
Snowpiercer,
So I Married an Axe Murderer,
Soapdish,
Society,
Solaris,
Solaris (2002),
Solo: A Star Wars Story,
Some Like It Hot,
Something in the Air,
Something Wild,
Somewhere,
Son of Frankenstein,
Sonic the Hedgehog,
Sorcerer,
Sorority Row,
Sound of Metal,
"South Park: Bigger, Longer & Uncut",
Southland Tales,
Space Truckers,
SpaceCamp,
Speak,
Spectre,
Speed,
Spellbound,
Spencer,
Spider-Man 2,
Spider-Man: Homecoming,
Spider-Man: No Way Home,
Spies Like Us,
Splendor in the Grass,
Split,
Spring Breakers,
Stage Beauty,
Stage Fright,
Stagecoach,
Stand by Me,
Star Trek,
Star Trek Beyond,
Star Trek II: The Wrath of Khan,
Star Trek III: The Search for Spock,
Star Trek Into Darkness,
Star Trek IV: The Voyage Home,
Star Trek V: The Final Frontier,
Star Trek VI: The Undiscovered Country,
Star Trek: First Contact,
Star Trek: Generations,
Star Trek: Insurrection,
Star Trek: Nemesis,
Star Trek: The Motion Picture,
Star Wars,
Star Wars Episode I: The Phantom Menace,
Star Wars Episode II: Attack of the Clones,
Star Wars Episode III: Revenge of the Sith,
Star Wars: The Force Awakens,
Star Wars: The Last Jedi,
Star Wars: The Rise of Skywalker,
Stardust,
Starlet,
Starman,
Starship Troopers,
Starstruck,
State Fair,
Stella Dallas,
Step Up 3D,
Still Alice,
Still Black: A Portrait of Black Transmen,
Stray Dog,
Strays,
Street Fighter,
Strictly Ballroom,
Stuart Saves His Family,
Stuck,
Student Bodies,
Suburbia,
Sugar,
Summer Hours,
Summer of Soul,
Summertime,
Sunset Boulevard,
Sunshine,
Super Mario Bros.,
Superbad,
Superman,
Superman II,
Superman III,
Superman IV: The Quest for Peace,
Superman Returns,
Suspiria,
Suspiria (2018),
Sweet Bird of Youth,
Sweet Land,
Swiss Family Robinson,
Tales from the Crypt,
Talk to Her,
Tangerine,
Tapeheads,
Tár,2022
Team America: World Police,
Tenacious D in The Pick of Destiny,
Tenebre,
Terminator 2: Judgment Day,
Terror of Mechagodzilla,
Tetsuo: The Iron Man,
That Thing You Do!,
The 40 Year Old Virgin,
The Abominable Dr. Phibes,
The Act of Killing,
The Adventures of Elmo in Grouchland,
The Adventures of Ichabod and Mr. Toad,
"The Adventures of Priscilla, Queen of the Desert",
The Adventures of Robin Hood,
The Adventures of Tintin,
The Age of Innocence,
The Apartment,
The Assassination of Jesse James by the Coward Robert Ford,
The Assistant,
The Associate,
The Avengers,
The Awful Truth,
The Bad and the Beautiful,
The Bad Lieutenant: Port of Call - New Orleans,
The Bad News Bears,
The Ballad of Buster Scruggs,
The Ballad of Cable Hogue,
The Banshees of Inisherin,
The Battery,
"The Beast From 20,000 Fathoms",
The Beatles: Get Back - The Rooftop Concert,
The Beatles: The First U.S. Visit,
The Beguiled,
The Believer,
The Best Man,
The Best Years of Our Lives,
The Beyond,
The BFG,
The Big Chill,
The Big Country,
The Big Lebowski,
The Big Picture,
The Big Sleep,
The Bingo Long Traveling All-Stars & Motor Kings,
The Bird With the Crystal Plumage,
The Birdcage,
The Bishop's Wife,
The Black Cauldron,
The Black Hole,
The Blair Witch Project,
The Blob (1988),
The Book of Eli,
The Bostonians,
The Bourne Identity,
The Box,
The Boys in the Band,
The Boys Next Door,
The Brady Bunch Movie,
The Bride of Frankenstein,
The Brood,
The Brother from Another Planet,
The Brothers Bloom,
